Order_ID,Date,Region,Product,Quantity,Revenue,Customer_Type
736,2025-01-01,South,Monitor,5,1464.29,Returning
136,2025-01-01,East,Accessories,3,748.71,New
657,2025-01-01,South,Accessories,1,854.3,New
250,2025-01-01,East,Phone,4,846.93,New
432,2025-01-01,North,Phone,4,536.73,New
105,2025-01-01,East,Tablet,3,64.63,Returning
626,2025-01-01,East,Laptop,5,616.36,Returning
210,2025-01-01,West,Laptop,1,646.9,Returning
826,2025-01-01,North,Accessories,4,595.97,New
263,2025-01-01,West,Monitor,3,1070.5,New
177,2025-01-01,South,Phone,2,191.4,New
994,2025-01-01,North,Laptop,3,1316.01,Returning
717,2025-01-01,West,Monitor,2,738.68,New
848,2025-01-01,North,Monitor,2,1076.78,New
951,2025-01-01,North,Laptop,2,688.08,Returning
434,2025-01-01,South,Monitor,3,879.27,Returning
438,2025-01-01,South,Accessories,5,1313.63,New
474,2025-01-01,North,Laptop,1,234.71,New
861,2025-01-02,North,Tablet,2,1286.82,New
480,2025-01-02,North,Laptop,2,752.3,Returning
262,2025-01-02,South,Phone,4,980.37,Returning
55,2025-01-02,South,Monitor,3,1436.66,New
68,2025-01-02,South,Monitor,1,1276.48,Returning
971,2025-01-02,North,Accessories,2,893.05,Returning
504,2025-01-02,South,Monitor,3,1074.62,Returning
968,2025-01-02,North,Monitor,1,115.61,New
212,2025-01-02,East,Monitor,4,674.28,New
19,2025-01-02,South,Laptop,5,116.78,New
206,2025-01-02,North,Accessories,4,321.03,New
359,2025-01-02,North,Phone,1,905.84,Returning
201,2025-01-02,East,Accessories,5,1283.49,New
15,2025-01-02,South,Phone,1,1187.41,Returning
207,2025-01-02,West,Phone,4,78.7,Returning
724,2025-01-03,West,Accessories,2,290.73,New
919,2025-01-03,West,Monitor,4,1478.03,New
959,2025-01-03,East,Tablet,2,219.54,Returning
12,2025-01-03,East,Laptop,1,1290.05,Returning
202,2025-01-03,South,Tablet,3,1473.76,Returning
41,2025-01-03,South,Monitor,2,449.54,New
273,2025-01-03,South,Accessories,3,219.75,Returning
235,2025-01-03,North,Laptop,2,702.67,Returning
750,2025-01-03,East,Laptop,3,490.25,New
867,2025-01-03,East,Monitor,2,537.21,New
135,2025-01-03,North,Tablet,1,961.23,Returning
181,2025-01-03,East,Accessories,5,824.72,Returning
659,2025-01-03,North,Phone,1,1224.87,New
627,2025-01-03,West,Tablet,1,150.53,Returning
606,2025-01-04,South,Phone,4,490.84,New
928,2025-01-04,South,Monitor,3,700.73,New
71,2025-01-04,North,Laptop,2,1243.58,New
740,2025-01-04,South,Tablet,2,160.9,Returning
150,2025-01-04,South,Monitor,2,1215.1,Returning
48,2025-01-04,East,Accessories,2,1358.24,Returning
912,2025-01-04,West,Tablet,2,453.29,New
326,2025-01-04,West,Phone,2,1333.2,Returning
806,2025-01-04,West,Accessories,2,860.21,Returning
807,2025-01-04,East,Phone,5,588.2,New
476,2025-01-04,West,Tablet,3,820.79,New
784,2025-01-04,East,Monitor,4,795.08,Returning
67,2025-01-04,North,Phone,5,1360.45,New
827,2025-01-05,East,Phone,5,386.48,New
115,2025-01-05,West,Accessories,4,933.96,New
701,2025-01-05,North,Laptop,1,1052.26,Returning
942,2025-01-05,North,Tablet,2,1304.2,New
819,2025-01-05,North,Accessories,2,804.11,New
137,2025-01-05,West,Accessories,1,574.48,Returning
410,2025-01-05,East,Accessories,1,607.97,New
755,2025-01-05,West,Laptop,4,690.53,Returning
575,2025-01-05,West,Phone,5,1171.81,Returning
594,2025-01-05,South,Phone,4,1134.61,New
782,2025-01-05,North,Laptop,3,1062.87,New
964,2025-01-05,South,Monitor,5,966.75,New
723,2025-01-05,East,Accessories,3,1478.69,New
69,2025-01-06,North,Laptop,2,631.37,Returning
334,2025-01-06,West,Laptop,5,1482.11,Returning
167,2025-01-06,North,Accessories,4,749.63,New
898,2025-01-06,West,Monitor,1,328.85,Returning
692,2025-01-06,North,Phone,5,777.28,New
412,2025-01-06,West,Monitor,2,672.93,Returning
635,2025-01-06,North,Monitor,5,599.74,New
961,2025-01-06,East,Laptop,3,1427.35,New
930,2025-01-06,South,Phone,5,324.62,Returning
924,2025-01-06,East,Laptop,2,397.98,Returning
794,2025-01-06,North,Monitor,1,1401.87,New
720,2025-01-06,North,Accessories,5,158.49,New
514,2025-01-07,North,Laptop,5,966.38,Returning
866,2025-01-07,East,Accessories,4,362.48,New
258,2025-01-07,North,Phone,3,1058.91,New
43,2025-01-07,North,Accessories,5,1489.04,Returning
374,2025-01-07,South,Accessories,4,1094.82,Returning
118,2025-01-07,South,Tablet,4,416.58,New
585,2025-01-07,East,Laptop,2,1294.27,Returning
302,2025-01-07,North,Laptop,5,793.45,Returning
106,2025-01-08,East,Laptop,5,684.35,Returning
509,2025-01-08,North,Accessories,2,1397.47,New
111,2025-01-08,South,Monitor,1,1111.0,Returning
893,2025-01-08,West,Monitor,5,475.98,New
301,2025-01-08,East,Laptop,5,1235.02,Returning
805,2025-01-08,South,Accessories,5,886.09,New
849,2025-01-08,North,Monitor,3,739.75,Returning
60,2025-01-08,North,Laptop,2,1092.78,New
380,2025-01-08,West,Monitor,1,692.79,Returning
407,2025-01-08,North,Accessories,1,715.82,Returning
315,2025-01-08,North,Phone,4,566.16,New
937,2025-01-08,South,Laptop,4,476.69,Returning
674,2025-01-08,North,Tablet,3,976.6,Returning
671,2025-01-08,North,Accessories,4,709.57,New
599,2025-01-08,East,Monitor,3,1359.49,Returning
103,2025-01-09,North,Phone,4,340.81,New
